audio_path,references,speaker,predictions,test_data
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0101.wav,horn,M04,on,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session1/wav_headMic/0226.wav,mother sews yellow gingham aprons,M02,my lid sous he hallo gingham aprons,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0096.wav,glow,M04,olo,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session1/wav_headMic/0177.wav,witch,M02,won't,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0293.wav,fat,M04,but,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session2/wav_headMic/0156.wav,yes,M02,oh yes,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0049.wav,feed,M04,feed,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session2/wav_headMic/0079.wav,air,M02,there,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session1/wav_headMic/0203.wav,she is thinner than i am,M02,see you thinner than i am,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M03/Session2/wav_headMic/0238.wav,thigh,M03,fye,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session2/wav_headMic/0201.wav,pit,M02,per,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0219.wav,both figures would go higher in later years,M04,bolting and wouldn't go higher in an litter year,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0074.wav,write,M05,i,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0219.wav,both figures would go higher in later years,M04,bolting and wouldn't go higher in in litter year,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0248.wav,nothing is as offensive as innocence,M04,nothing in i had prevented the athenian,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F01/Session1/wav_headMic/0053.wav,swarm,F01,for,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session1/wav_headMic/0030.wav,torn,M02,to,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session2/wav_headMic/0222.wav,when all else fails use force,M02,i am now afraid of eves force,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0115.wav,it also provides for funds to clear slums and help colleges build dormitories,F04,it also provides for funds to clear slums and hep colleges build dormitories,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session1/wav_headMic/0056.wav,the quick brown fox jumps over the lazy dog,M05,the quick brain fox gem over that baby dog,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0051.wav,farm,M04,fan,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0076.wav,air,M04,e,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0052.wav,their house is grey and white,F04,their house is grey and whit,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0120.wav,aluminum silverware can often be flimsy,F04,aluminum silver ware can often be flimsy,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0152.wav,steer,M04,dear,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0092.wav,menu,M05,ning you,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M03/Session2/wav_headMic/0291.wav,yes,M03,yes,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0090.wav,zero,F04,deri,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0088.wav,i scrubbed the floors thoroughly,M05,i grub thou for the load the or the,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F01/Session1/wav_headMic/0044.wav,grow,F01,grow,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0231.wav,bloat,M05,be looked,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M03/Session2/wav_headMic/0030.wav,feed,M03,feed on,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0097.wav,lip,M05,tip,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0103.wav,torn,M04,do in,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0304.wav,down,M05,don,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0375.wav,no,M05,no o,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M03/Session2/wav_headMic/0010.wav,air,M03,her,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session2/wav_headMic/0118.wav,lima,M02,linum,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0208.wav,all the big baseball players get traded,M04,or the big big ball playing kid drill,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0325.wav,ned,M05,dead,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0017.wav,storm,M04,dom,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M03/Session2/wav_headMic/0277.wav,this is not a program of socialized medicine,M03,this is not a programme of socialized medicine,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0021.wav,yes,M04,yes,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session2/wav_headMic/0076.wav,group,M02,our,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session1/wav_headMic/0156.wav,pot,M02,pork,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M03/Session2/wav_headMic/0182.wav,i scrubbed the floors thoroughly,M03,i i scrubbed the floor thoroughly,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session1/wav_headMic/0138.wav,ate,M02,ad,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M03/Session2/wav_headMic/0182.wav,i scrubbed the floors thoroughly,M03,ii scrubbed the floors thoroughly,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0082.wav,one,M04,when,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0193.wav,nine,M05,nine e,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0111.wav,wish,M05,which,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M03/Session2/wav_headMic/0238.wav,thigh,M03,five,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0210.wav,shell,F04,shall,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F01/Session1/wav_headMic/0025.wav,feet,F01,bee,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0232.wav,x-ray,F04,exway,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F01/Session1/wav_headMic/0031.wav,the quick brown fox jumps over the lazy dog,F01,the quick born folk come over the lading dog,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0122.wav,just one side got wet,M05,just when i'd got wet,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session2/wav_headMic/0200.wav,there is a treehouse up above,M02,there is the tree had ample grow,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session1/wav_headMic/0126.wav,air,M05,her,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session1/wav_headMic/0108.wav,sticks,M05,tic,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M03/Session2/wav_headMic/0312.wav,night after night they received annoying phone calls,M03,night after night they received annoying phone calls,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M03/Session2/wav_headMic/0104.wav,for,M03,four a,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session1/wav_headMic/0020.wav,grandfather likes to be modern in his language,M02,god fadeless life to be marden in his language,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session1/wav_headMic/0071.wav,we have often urged him to walk more and smoke less,M02,we have over trim to war more and smoke glass,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session2/wav_headMic/0142.wav,pit,M02,to ot,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session2/wav_headMic/0130.wav,seed,M02,ti,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session1/wav_headMic/0018.wav,ship,M02,ship,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M03/Session2/wav_headMic/0281.wav,pit,M03,pint,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session1/wav_headMic/0158.wav,three,M02,sure,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0170.wav,i expect we'll bounce back this week,M05,i hate back we'll bounce back this wit,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0295.wav,there is a treehouse up above,M04,he is on it doonabove,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0023.wav,witch,F04,which,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session1/wav_headMic/0148.wav,shout,M02,shout n,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0226.wav,eight,M05,ek,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session1/wav_headMic/0017.wav,sheet,M05,hu,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M03/Session2/wav_headMic/0338.wav,alfalfa is healthy for you,M03,apelpha is healthy for you,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0249.wav,fat,M05,fat,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M03/Session2/wav_headMic/0066.wav,beat,M03,beet,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0371.wav,bed,M05,bed,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session1/wav_headMic/0094.wav,but he always answers banana oil,M05,but he always answered be then o,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session2/wav_headMic/0081.wav,select,M02,thither an fella,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session2/wav_headMic/0087.wav,lip,M02,that a that,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0307.wav,we have an excellent team,M05,we hail in excellent team,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0061.wav,grow,M04,go,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0158.wav,i just try to do my best,M04,i did i did good twin tomb be the tomb of my bed,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0022.wav,rocks,F04,rocks,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M03/Session2/wav_headMic/0265.wav,mush,M03,mash,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session1/wav_headMic/0236.wav,i scrubbed the floors thoroughly,M02,i scrubbed the forms terribly,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session1/wav_headMic/0047.wav,store,M02,stole,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0212.wav,urgent,M04,forget i,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M03/Session2/wav_headMic/0247.wav,play,M03,play,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session2/wav_headMic/0121.wav,this is a period of transition for me,M02,there is the beat of crates and fall in man,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0115.wav,it also provides for funds to clear slums and help colleges build dormitories,F04,it also provides for funds to clear slums and help colleges build dormitories,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0235.wav,troop,M04,cope,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0171.wav,vat,F04,that,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session1/wav_headMic/0187.wav,wish,M02,wolfe,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session1/wav_headMic/0208.wav,just one side got wet,M02,just once i got wed,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F01/Session1/wav_headMic/0088.wav,left,F01,well,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0103.wav,torn,M04,do i,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0187.wav,lima,M05,ximen,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0096.wav,i expect we'll bounce back this week,F04,i expect well bounce back this week,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0365.wav,it's fun to roast marshmallows on a gas burner,M05,it's fun to roast mice melos on i gasped burne,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0105.wav,corn,M04,lay,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M03/Session2/wav_headMic/0309.wav,sell,M03,cell,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session1/wav_headMic/0144.wav,drop,M02,go up,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session1/wav_headMic/0071.wav,we have often urged him to walk more and smoke less,M02,we have over time to walk more an smoke glass,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0123.wav,play,M05,pilate,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session1/wav_headMic/0167.wav,pad,M02,time,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F01/Session1/wav_headMic/0015.wav,air,F01,eh,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0201.wav,chop,F04,chop,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0231.wav,bloat,M05,beloved,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0263.wav,take,M05,take,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0282.wav,it also provides for funds to clear slums and help colleges build dormitories,M04,it was a otompvain for fun tu tu tu r flam an el colin pilin do donatin,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F01/Session1/wav_headMic/0112.wav,right,F01,ra,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session2/wav_headMic/0219.wav,leak,M02,lake,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0178.wav,witch,M05,wich,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0105.wav,corn,M04,cla,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M03/Session2/wav_headMic/0294.wav,chop,M03,cap,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session2/wav_headMic/0140.wav,pit,M02,per,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F01/Session1/wav_headMic/0072.wav,sheet,F01,sae,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session1/wav_headMic/0086.wav,glow,M02,glo o,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0051.wav,farm,M04,fine,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F01/Session1/wav_headMic/0018.wav,no,F01,no,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0290.wav,pitting,M04,eden,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0200.wav,he wrapped the package hastily,F04,he rapped the package hastily,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0041.wav,we gathered shells on the beach,F04,we gathered shelves on the beach,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M03/Session2/wav_headMic/0375.wav,at,M03,at,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session1/wav_headMic/0058.wav,torn,M05,lo taig,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0280.wav,hat,M04,hut,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session1/wav_headMic/0198.wav,nothing is as offensive as innocence,M02,nodding and have found you better than tin,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F01/Session1/wav_headMic/0047.wav,one,F01,on,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0204.wav,the job provides many benefits,M05,the job purlite many benefits,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session1/wav_headMic/0038.wav,feet,M02,feel,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F01/Session1/wav_headMic/0031.wav,the quick brown fox jumps over the lazy dog,F01,the quick born folk come over the lady dog,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F01/Session1/wav_headMic/0047.wav,one,F01,one a,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session2/wav_headMic/0235.wav,the owners regularly look for plumbing leaks,M02,down knights by you gray he than they,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0024.wav,air,M05,ere,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session1/wav_headMic/0044.wav,he dresses himself in an ancient black frock coat,M02,he dwells as himself and an ancient black relock comte,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session1/wav_headMic/0119.wav,two,M02,two,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F01/Session1/wav_headMic/0011.wav,meat,F01,mea,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0180.wav,write,M04,red,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session1/wav_headMic/0139.wav,write,M02,late,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0164.wav,leak,M05,te,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F01/Session1/wav_headMic/0015.wav,air,F01,h,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session2/wav_headMic/0165.wav,at,M02,a,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0275.wav,did dad do academic bidding,M05,they did do i can they make bidding,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session2/wav_headMic/0208.wav,nothing has been done yet to take advantage of the enabling legislation,M02,a thing had been let out to take evenly drug and every thing a le de slave,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0081.wav,oscar,F04,oscar,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M03/Session2/wav_headMic/0286.wav,a roll of wire lay near the wall,M03,a roll of wire lay near the wall,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M03/Session2/wav_headMic/0335.wav,seed,M03,seed h,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session2/wav_headMic/0234.wav,bread,M02,there,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session2/wav_headMic/0107.wav,i just try to do my best,M05,i did i dat die to do my best,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0171.wav,vat,F04,what,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0111.wav,pat,M04,ad,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session1/wav_headMic/0115.wav,beat,M05,deep,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M05/Session1/wav_headMic/0122.wav,feed,M05,sed,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M02/Session2/wav_headMic/0215.wav,witch,M02,we,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M04/Session2/wav_headMic/0131.wav,wish,M04,wid,0
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//M03/Session2/wav_headMic/0309.wav,sell,M03,sell,0
